    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.40280e+01      1.00000e+02      -1.99292e+00
    1.01247e-01      6.34347e+01      1.00000e+02      -1.96194e+00
    1.02408e-01      6.28346e+01      1.00000e+02      -1.93061e+00
    1.03582e-01      6.22277e+01      1.00000e+02      -1.89891e+00
    1.04769e-01      6.16138e+01      1.00000e+02      -1.86685e+00
    1.05970e-01      6.09928e+01      1.00000e+02      -1.83442e+00
    1.07184e-01      6.03647e+01      1.00000e+02      -1.80162e+00
    1.08413e-01      5.97294e+01      1.00000e+02      -1.76844e+00
    1.09655e-01      5.90868e+01      1.00000e+02      -1.73489e+00
    1.10912e-01      5.84368e+01      1.00000e+02      -1.70095e+00
    1.12184e-01      5.77794e+01      1.00000e+02      -1.66661e+00
    1.13470e-01      5.71145e+01      1.00000e+02      -1.63189e+00
    1.14770e-01      5.64419e+01      1.00000e+02      -1.59677e+00
    1.16086e-01      5.57616e+01      1.00000e+02      -1.56124e+00
    1.17417e-01      5.50734e+01      1.00000e+02      -1.52531e+00
    1.18763e-01      5.43774e+01      1.00000e+02      -1.48896e+00
    1.20124e-01      5.36735e+01      1.00000e+02      -1.45220e+00
    1.21501e-01      5.29614e+01      1.00000e+02      -1.41501e+00
    1.22894e-01      5.22411e+01      1.00000e+02      -1.37740e+00
    1.24303e-01      5.15126e+01      1.00000e+02      -1.33936e+00
    1.25728e-01      5.07758e+01      1.00000e+02      -1.30088e+00
    1.27169e-01      5.00305e+01      1.00000e+02      -1.26195e+00
    1.28627e-01      4.92766e+01      1.00000e+02      -1.22259e+00
    1.30101e-01      4.85141e+01      1.00000e+02      -1.18277e+00
    1.31593e-01      4.79650e+01      1.00000e+02      -1.16038e+00
    1.33101e-01      4.74260e+01      1.00000e+02      -1.13906e+00
    1.34627e-01      4.68807e+01      1.00000e+02      -1.11748e+00
    1.36171e-01      4.63292e+01      1.00000e+02      -1.09566e+00
    1.37732e-01      4.57714e+01      1.00000e+02      -1.07359e+00
    1.39311e-01      4.52072e+01      1.00000e+02      -1.05127e+00
    1.40908e-01      4.46365e+01      1.00000e+02      -1.02869e+00
    1.42523e-01      4.40592e+01      1.00000e+02      -1.00585e+00
    1.44157e-01      4.34753e+01      1.00000e+02      -9.82748e-01
    1.45810e-01      4.28848e+01      1.00000e+02      -9.59382e-01
    1.47482e-01      4.22874e+01      1.00000e+02      -9.35747e-01
    1.49173e-01      4.16832e+01      1.00000e+02      -9.11842e-01
    1.50883e-01      4.10721e+01      1.00000e+02      -8.87662e-01
    1.52613e-01      4.04539e+01      1.00000e+02      -8.63205e-01
    1.54363e-01      3.98287e+01      1.00000e+02      -8.38467e-01
    1.56133e-01      3.91963e+01      1.00000e+02      -8.13445e-01
    1.57923e-01      3.85566e+01      1.00000e+02      -7.88137e-01
    1.59733e-01      3.79096e+01      1.00000e+02      -7.62538e-01
    1.61565e-01      3.73693e+01      1.00000e+02      -7.43565e-01
    1.63417e-01      3.68895e+01      1.00000e+02      -7.28418e-01
    1.65291e-01      3.64041e+01      1.00000e+02      -7.13097e-01
    1.67186e-01      3.59132e+01      1.00000e+02      -6.97601e-01
    1.69103e-01      3.54167e+01      1.00000e+02      -6.81926e-01
    1.71042e-01      3.49145e+01      1.00000e+02      -6.66072e-01
    1.73003e-01      3.44065e+01      1.00000e+02      -6.50036e-01
    1.74987e-01      3.38927e+01      1.00000e+02      -6.33816e-01
    1.76994e-01      3.33729e+01      1.00000e+02      -6.17410e-01
    1.79023e-01      3.28473e+01      1.00000e+02      -6.00815e-01
    1.81076e-01      3.23156e+01      1.00000e+02      -5.84030e-01
    1.83152e-01      3.17777e+01      1.00000e+02      -5.67053e-01
    1.85252e-01      3.12338e+01      1.00000e+02      -5.49881e-01
    1.87377e-01      3.06835e+01      1.00000e+02      -5.32512e-01
    1.89525e-01      3.01270e+01      1.00000e+02      -5.14943e-01
    1.91698e-01      2.96336e+01      1.00000e+02      -5.00551e-01
    1.93897e-01      2.92042e+01      1.00000e+02      -4.89376e-01
    1.96120e-01      2.87699e+01      1.00000e+02      -4.78072e-01
    1.98369e-01      2.83305e+01      1.00000e+02      -4.66638e-01
    2.00644e-01      2.78861e+01      1.00000e+02      -4.55074e-01
    2.02944e-01      2.74367e+01      1.00000e+02      -4.43376e-01
    2.05272e-01      2.69820e+01      1.00000e+02      -4.31545e-01
    2.07626e-01      2.65222e+01      1.00000e+02      -4.19577e-01
    2.10006e-01      2.60571e+01      1.00000e+02      -4.07473e-01
