    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      1.18053e+02      1.00000e+02      -1.33822e-02
    2.24750e-01      2.48379e+01      1.00000e+02      -6.39482e-04
    3.99500e-01      8.13782e+00      1.00000e+02      -1.15777e-04
    5.74250e-01      3.19506e+00      1.00000e+02      -3.17974e-05
    7.49000e-01      1.34451e+00      1.00000e+02      -1.02247e-05
    9.23750e-01      5.83293e-01      1.00000e+02      -3.60959e-06
    1.09850e+00      2.46315e-01      1.00000e+02      -1.28016e-06
    1.27325e+00      9.95082e-02      1.00000e+02      -4.47248e-07
    1.44800e+00      3.64744e-02      1.00000e+02      -1.43488e-07
    1.62275e+00      1.22771e-02      1.00000e+02      -4.25324e-08
    1.79750e+00      3.71199e-03      1.00000e+02      -1.08584e-08
    1.97225e+00      1.38289e-03      1.00000e+02      -3.04426e-09
    2.14700e+00      6.93408e-04      1.00000e+02      -9.37614e-10
    2.32175e+00      4.54754e-04      1.00000e+02      -2.71385e-10
    2.49650e+00      3.78583e-04      1.00000e+02      -7.48302e-11
    2.67125e+00      3.53666e-04      1.00000e+02      -1.58257e-11
    2.84600e+00      3.47068e-04      1.00000e+02      -1.25783e-12
    3.02075e+00      3.46401e-04      1.00000e+02      -4.62047e-15
    3.19550e+00      3.46301e-04      1.00000e+02      -2.89850e-192
    3.37025e+00      3.46204e-04      1.00000e+02      -7.03726e-192
    3.54500e+00      3.46109e-04      1.00000e+02      -1.25134e-191
    3.71975e+00      3.46012e-04      1.00000e+02      -1.90249e-191
    3.89450e+00      3.45919e-04      1.00000e+02      -2.62927e-191
    4.06925e+00      3.45825e-04      1.00000e+02      -3.41331e-191
    4.24400e+00      3.45732e-04      1.00000e+02      -4.23770e-191
    4.41875e+00      3.45639e-04      1.00000e+02      -5.09093e-191
    4.59350e+00      3.45547e-04      1.00000e+02      -5.96259e-191
    4.76825e+00      3.45455e-04      1.00000e+02      -6.84531e-191
    4.94300e+00      3.45363e-04      1.00000e+02      -7.73268e-191
    5.11775e+00      3.45274e-04      1.00000e+02      -8.61987e-191
    5.29250e+00      3.45187e-04      1.00000e+02      -9.50300e-191
    5.46725e+00      3.45100e-04      1.00000e+02      -1.03788e-190
    5.64200e+00      3.45014e-04      1.00000e+02      -1.12451e-190
    5.81675e+00      3.44931e-04      1.00000e+02      -1.20997e-190
    5.99150e+00      3.44848e-04      1.00000e+02      -1.29414e-190
    6.16625e+00      3.44767e-04      1.00000e+02      -1.37686e-190
    6.34100e+00      3.44685e-04      1.00000e+02      -1.45810e-190
    6.51575e+00      3.44605e-04      1.00000e+02      -1.53773e-190
    6.69050e+00      3.44524e-04      1.00000e+02      -1.61577e-190
    6.86525e+00      3.44442e-04      1.00000e+02      -1.69213e-190
    7.04000e+00      3.44362e-04      1.00000e+02      -1.76685e-190
    7.21475e+00      3.44282e-04      1.00000e+02      -1.83987e-190
    7.38950e+00      3.44202e-04      1.00000e+02      -1.91123e-190
    7.56425e+00      3.44120e-04      1.00000e+02      -1.98090e-190
    7.73900e+00      3.44039e-04      1.00000e+02      -2.04894e-190
    7.91375e+00      3.43961e-04      1.00000e+02      -2.11531e-190
