    Er (keV)         SM dN/dE         BG dN/dE         BSM dN/dE (events/kg/day/keV)
    5.00000e-02      1.00000e-99      1.00000e+02      -9.38341e-186
    2.24750e-01      -4.46552e+02      1.00000e+02      1.11206e-02
    3.99500e-01      -1.16748e+03      1.00000e+02      1.65092e-02
    5.74250e-01      -1.88363e+03      1.00000e+02      1.85302e-02
    7.49000e-01      -2.59514e+03      1.00000e+02      1.95812e-02
    9.23750e-01      -3.30191e+03      1.00000e+02      2.02013e-02
    1.09850e+00      -4.00409e+03      1.00000e+02      2.06024e-02
    1.27325e+00      -4.70158e+03      1.00000e+02      2.08714e-02
    1.44800e+00      -5.39451e+03      1.00000e+02      2.10584e-02
    1.62275e+00      -6.08278e+03      1.00000e+02      2.11886e-02
    1.79750e+00      -6.76655e+03      1.00000e+02      2.12795e-02
    1.97225e+00      -7.44570e+03      1.00000e+02      2.13409e-02
    2.14700e+00      -8.12037e+03      1.00000e+02      2.13807e-02
    2.32175e+00      -8.79048e+03      1.00000e+02      2.14034e-02
    2.49650e+00      -9.45615e+03      1.00000e+02      2.14128e-02
    2.67125e+00      -1.01173e+04      1.00000e+02      2.14115e-02
    2.84600e+00      -1.07740e+04      1.00000e+02      2.14016e-02
    3.02075e+00      -1.14263e+04      1.00000e+02      2.13845e-02
    3.19550e+00      -1.20742e+04      1.00000e+02      2.13615e-02
    3.37025e+00      -1.27176e+04      1.00000e+02      2.13335e-02
    3.54500e+00      -1.33568e+04      1.00000e+02      2.13014e-02
    3.71975e+00      -1.39915e+04      1.00000e+02      2.12656e-02
    3.89450e+00      -1.46219e+04      1.00000e+02      2.12268e-02
    4.06925e+00      -1.52480e+04      1.00000e+02      2.11854e-02
    4.24400e+00      -1.58698e+04      1.00000e+02      2.11416e-02
    4.41875e+00      -1.64873e+04      1.00000e+02      2.10958e-02
    4.59350e+00      -1.71006e+04      1.00000e+02      2.10483e-02
    4.76825e+00      -1.77096e+04      1.00000e+02      2.09993e-02
    4.94300e+00      -1.83144e+04      1.00000e+02      2.09489e-02
    5.11775e+00      -1.89150e+04      1.00000e+02      2.08973e-02
    5.29250e+00      -1.95114e+04      1.00000e+02      2.08447e-02
    5.46725e+00      -2.01037e+04      1.00000e+02      2.07912e-02
    5.64200e+00      -2.06918e+04      1.00000e+02      2.07368e-02
    5.81675e+00      -2.12758e+04      1.00000e+02      2.06817e-02
    5.99150e+00      -2.18557e+04      1.00000e+02      2.06259e-02
    6.16625e+00      -2.24315e+04      1.00000e+02      2.05696e-02
    6.34100e+00      -2.30032e+04      1.00000e+02      2.05127e-02
    6.51575e+00      -2.35709e+04      1.00000e+02      2.04554e-02
    6.69050e+00      -2.41345e+04      1.00000e+02      2.03977e-02
    6.86525e+00      -2.46942e+04      1.00000e+02      2.03396e-02
