    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      8.67295e-01      5.00000e+00      -1.60515e-01
    1.02614e-02      8.62747e-01      5.00000e+00      -1.59663e-01
    1.04254e-02      8.58125e-01      5.00000e+00      -1.58797e-01
    1.05921e-02      8.53428e-01      5.00000e+00      -1.57917e-01
    1.07615e-02      8.48656e-01      5.00000e+00      -1.57023e-01
    1.09336e-02      8.43806e-01      5.00000e+00      -1.56115e-01
    1.11084e-02      8.38879e-01      5.00000e+00      -1.55192e-01
    1.12861e-02      8.33871e-01      5.00000e+00      -1.54254e-01
    1.14667e-02      8.28783e-01      5.00000e+00      -1.53301e-01
    1.16502e-02      8.23613e-01      5.00000e+00      -1.52332e-01
    1.18366e-02      8.18359e-01      5.00000e+00      -1.51348e-01
    1.20261e-02      8.13021e-01      5.00000e+00      -1.50348e-01
    1.22186e-02      8.07596e-01      5.00000e+00      -1.49332e-01
    1.24142e-02      8.02084e-01      5.00000e+00      -1.48300e-01
    1.26129e-02      7.96483e-01      5.00000e+00      -1.47250e-01
    1.28149e-02      7.90791e-01      5.00000e+00      -1.46184e-01
    1.30202e-02      7.85008e-01      5.00000e+00      -1.45101e-01
    1.32287e-02      7.79131e-01      5.00000e+00      -1.44000e-01
    1.34406e-02      7.73159e-01      5.00000e+00      -1.42882e-01
    1.36560e-02      7.67091e-01      5.00000e+00      -1.41745e-01
    1.38748e-02      7.60925e-01      5.00000e+00      -1.40590e-01
    1.40971e-02      7.54660e-01      5.00000e+00      -1.39416e-01
    1.43231e-02      7.48293e-01      5.00000e+00      -1.38224e-01
    1.45527e-02      7.41823e-01      5.00000e+00      -1.37012e-01
    1.47859e-02      7.35249e-01      5.00000e+00      -1.35781e-01
    1.50230e-02      7.28569e-01      5.00000e+00      -1.34529e-01
    1.52639e-02      7.21782e-01      5.00000e+00      -1.33258e-01
    1.55086e-02      7.14884e-01      5.00000e+00      -1.31966e-01
    1.57574e-02      7.07876e-01      5.00000e+00      -1.30653e-01
    1.60101e-02      7.00754e-01      5.00000e+00      -1.29319e-01
    1.62669e-02      6.93517e-01      5.00000e+00      -1.27963e-01
    1.65279e-02      6.86163e-01      5.00000e+00      -1.26586e-01
    1.67931e-02      6.78691e-01      5.00000e+00      -1.25186e-01
    1.70625e-02      6.71098e-01      5.00000e+00      -1.23764e-01
    1.73363e-02      6.63382e-01      5.00000e+00      -1.22319e-01
    1.76145e-02      6.55542e-01      5.00000e+00      -1.20850e-01
    1.78972e-02      6.47576e-01      5.00000e+00      -1.19358e-01
    1.81845e-02      6.39480e-01      5.00000e+00      -1.17842e-01
    1.84764e-02      6.31255e-01      5.00000e+00      -1.16301e-01
    1.87731e-02      6.22896e-01      5.00000e+00      -1.14735e-01
    1.90745e-02      6.14402e-01      5.00000e+00      -1.13144e-01
    1.93808e-02      6.05772e-01      5.00000e+00      -1.11528e-01
    1.96920e-02      5.97002e-01      5.00000e+00      -1.09885e-01
    2.00082e-02      5.88090e-01      5.00000e+00      -1.08216e-01
    2.03296e-02      5.79035e-01      5.00000e+00      -1.06519e-01
    2.06561e-02      5.69833e-01      5.00000e+00      -1.04796e-01
    2.09879e-02      5.60483e-01      5.00000e+00      -1.03044e-01
    2.13251e-02      5.50982e-01      5.00000e+00      -1.01265e-01
    2.16677e-02      5.41328e-01      5.00000e+00      -9.94563e-02
    2.20158e-02      5.31517e-01      5.00000e+00      -9.76187e-02
    2.23696e-02      5.21549e-01      5.00000e+00      -9.57514e-02
    2.27291e-02      5.11419e-01      5.00000e+00      -9.38540e-02
    2.30943e-02      5.01126e-01      5.00000e+00      -9.19260e-02
    2.34655e-02      4.90667e-01      5.00000e+00      -8.99669e-02
    2.38426e-02      4.80039e-01      5.00000e+00      -8.79761e-02
    2.42259e-02      4.69240e-01      5.00000e+00      -8.59532e-02
    2.46153e-02      4.58266e-01      5.00000e+00      -8.38977e-02
    2.50110e-02      4.47115e-01      5.00000e+00      -8.18089e-02
    2.54131e-02      4.35784e-01      5.00000e+00      -7.96865e-02
    2.58217e-02      4.24270e-01      5.00000e+00      -7.75298e-02
    2.62369e-02      4.12570e-01      5.00000e+00      -7.53382e-02
    2.66588e-02      4.00682e-01      5.00000e+00      -7.31113e-02
    2.70875e-02      3.88601e-01      5.00000e+00      -7.08485e-02
    2.75231e-02      3.76326e-01      5.00000e+00      -6.85491e-02
    2.79658e-02      3.63852e-01      5.00000e+00      -6.62127e-02
    2.84156e-02      3.51177e-01      5.00000e+00      -6.38385e-02
    2.88727e-02      3.38298e-01      5.00000e+00      -6.14259e-02
    2.93371e-02      3.25210e-01      5.00000e+00      -5.89745e-02
    2.98090e-02      3.11912e-01      5.00000e+00      -5.64834e-02
    3.02886e-02      2.98398e-01      5.00000e+00      -5.39522e-02
    3.07759e-02      2.84667e-01      5.00000e+00      -5.13801e-02
    3.12710e-02      2.70714e-01      5.00000e+00      -4.87665e-02
    3.17742e-02      2.56535e-01      5.00000e+00      -4.61107e-02
    3.22855e-02      2.42128e-01      5.00000e+00      -4.34120e-02
    3.28050e-02      2.27488e-01      5.00000e+00      -4.06697e-02
    3.33329e-02      2.12612e-01      5.00000e+00      -3.78832e-02
    3.38693e-02      1.97496e-01      5.00000e+00      -3.50518e-02
    3.44144e-02      1.82136e-01      5.00000e+00      -3.21746e-02
    3.49683e-02      1.66528e-01      5.00000e+00      -2.92509e-02
    3.55311e-02      1.50667e-01      5.00000e+00      -2.62801e-02
    3.61031e-02      1.34551e-01      5.00000e+00      -2.32614e-02
    3.66842e-02      1.18175e-01      5.00000e+00      -2.01939e-02
    3.72747e-02      1.01534e-01      5.00000e+00      -1.70768e-02
    3.78748e-02      8.46253e-02      5.00000e+00      -1.39095e-02
    3.84845e-02      6.74431e-02      5.00000e+00      -1.06910e-02
    3.91041e-02      4.99836e-02      5.00000e+00      -7.42064e-03
    3.97337e-02      3.22423e-02      5.00000e+00      -4.09744e-03
    4.03735e-02      1.64446e-02      5.00000e+00      -1.14288e-03
    4.10236e-02      1.61239e-02      5.00000e+00      -1.11969e-03
    4.16841e-02      1.57981e-02      5.00000e+00      -1.09613e-03
    4.23554e-02      1.54670e-02      5.00000e+00      -1.07219e-03
    4.30374e-02      1.51306e-02      5.00000e+00      -1.04787e-03
    4.37305e-02      1.47887e-02      5.00000e+00      -1.02315e-03
    4.44348e-02      1.44414e-02      5.00000e+00      -9.98029e-04
    4.51504e-02      1.40884e-02      5.00000e+00      -9.72505e-04
    4.58776e-02      1.37297e-02      5.00000e+00      -9.46570e-04
    4.66165e-02      1.33652e-02      5.00000e+00      -9.20215e-04
    4.73674e-02      1.29949e-02      5.00000e+00      -8.93435e-04
    4.81304e-02      1.26185e-02      5.00000e+00      -8.66223e-04
    4.89056e-02      1.22361e-02      5.00000e+00      -8.38572e-04
    4.96934e-02      1.18475e-02      5.00000e+00      -8.10475e-04
    5.04940e-02      1.14527e-02      5.00000e+00      -7.81923e-04
    5.13074e-02      1.10515e-02      5.00000e+00      -7.52911e-04
    5.21340e-02      1.06438e-02      5.00000e+00      -7.23431e-04
    5.29739e-02      1.02295e-02      5.00000e+00      -6.93475e-04
    5.38274e-02      9.80851e-03      5.00000e+00      -6.63035e-04
    5.46946e-02      9.38074e-03      5.00000e+00      -6.32104e-04
    5.55758e-02      8.94607e-03      5.00000e+00      -6.00674e-04
    5.64713e-02      8.50438e-03      5.00000e+00      -5.68736e-04
    5.73812e-02      8.05556e-03      5.00000e+00      -5.36283e-04
