    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.01000e-02      2.47699e+02      5.00000e+00      -4.57772e+01
    1.02614e-02      2.47060e+02      5.00000e+00      -4.55800e+01
    1.04254e-02      2.46409e+02      5.00000e+00      -4.53797e+01
    1.05921e-02      2.45749e+02      5.00000e+00      -4.51761e+01
    1.07615e-02      2.45077e+02      5.00000e+00      -4.49692e+01
    1.09336e-02      2.44395e+02      5.00000e+00      -4.47589e+01
    1.11084e-02      2.43702e+02      5.00000e+00      -4.45453e+01
    1.12861e-02      2.42998e+02      5.00000e+00      -4.43283e+01
    1.14667e-02      2.42282e+02      5.00000e+00      -4.41077e+01
    1.16502e-02      2.41555e+02      5.00000e+00      -4.38836e+01
    1.18366e-02      2.40816e+02      5.00000e+00      -4.36558e+01
    1.20261e-02      2.40065e+02      5.00000e+00      -4.34244e+01
    1.22186e-02      2.39302e+02      5.00000e+00      -4.31892e+01
    1.24142e-02      2.38526e+02      5.00000e+00      -4.29503e+01
    1.26129e-02      2.37738e+02      5.00000e+00      -4.27074e+01
    1.28149e-02      2.36938e+02      5.00000e+00      -4.24607e+01
    1.30202e-02      2.36124e+02      5.00000e+00      -4.22100e+01
    1.32287e-02      2.35298e+02      5.00000e+00      -4.19552e+01
    1.34406e-02      2.34458e+02      5.00000e+00      -4.16964e+01
    1.36560e-02      2.33604e+02      5.00000e+00      -4.14333e+01
    1.38748e-02      2.32737e+02      5.00000e+00      -4.11660e+01
    1.40971e-02      2.31855e+02      5.00000e+00      -4.08944e+01
    1.43231e-02      2.30960e+02      5.00000e+00      -4.06184e+01
    1.45527e-02      2.30050e+02      5.00000e+00      -4.03379e+01
    1.47859e-02      2.29125e+02      5.00000e+00      -4.00530e+01
    1.50230e-02      2.28185e+02      5.00000e+00      -3.97634e+01
    1.52639e-02      2.27230e+02      5.00000e+00      -3.94691e+01
    1.55086e-02      2.26260e+02      5.00000e+00      -3.91701e+01
    1.57574e-02      2.25274e+02      5.00000e+00      -3.88663e+01
    1.60101e-02      2.24273e+02      5.00000e+00      -3.85575e+01
    1.62669e-02      2.23255e+02      5.00000e+00      -3.82438e+01
    1.65279e-02      2.22220e+02      5.00000e+00      -3.79250e+01
    1.67931e-02      2.21169e+02      5.00000e+00      -3.76011e+01
    1.70625e-02      2.20101e+02      5.00000e+00      -3.72719e+01
    1.73363e-02      2.19016e+02      5.00000e+00      -3.69375e+01
    1.76145e-02      2.17913e+02      5.00000e+00      -3.65976e+01
    1.78972e-02      2.16792e+02      5.00000e+00      -3.62522e+01
    1.81845e-02      2.15653e+02      5.00000e+00      -3.59013e+01
    1.84764e-02      2.14496e+02      5.00000e+00      -3.55447e+01
    1.87731e-02      2.13321e+02      5.00000e+00      -3.51824e+01
    1.90745e-02      2.12126e+02      5.00000e+00      -3.48142e+01
    1.93808e-02      2.10912e+02      5.00000e+00      -3.44400e+01
    1.96920e-02      2.09678e+02      5.00000e+00      -3.40598e+01
    2.00082e-02      2.08425e+02      5.00000e+00      -3.36735e+01
    2.03296e-02      2.07151e+02      5.00000e+00      -3.32810e+01
    2.06561e-02      2.05856e+02      5.00000e+00      -3.28821e+01
    2.09879e-02      2.04541e+02      5.00000e+00      -3.24767e+01
    2.13251e-02      2.03205e+02      5.00000e+00      -3.20649e+01
    2.16677e-02      2.01847e+02      5.00000e+00      -3.16463e+01
    2.20158e-02      2.00467e+02      5.00000e+00      -3.12211e+01
    2.23696e-02      1.99064e+02      5.00000e+00      -3.07889e+01
    2.27291e-02      1.97640e+02      5.00000e+00      -3.03498e+01
    2.30943e-02      1.96192e+02      5.00000e+00      -2.99036e+01
    2.34655e-02      1.94720e+02      5.00000e+00      -2.94502e+01
    2.38426e-02      1.93225e+02      5.00000e+00      -2.89895e+01
    2.42259e-02      1.91706e+02      5.00000e+00      -2.85213e+01
    2.46153e-02      1.90163e+02      5.00000e+00      -2.80456e+01
    2.50110e-02      1.88594e+02      5.00000e+00      -2.75622e+01
    2.54131e-02      1.87000e+02      5.00000e+00      -2.70710e+01
    2.58217e-02      1.85381e+02      5.00000e+00      -2.65718e+01
    2.62369e-02      1.83735e+02      5.00000e+00      -2.60647e+01
    2.66588e-02      1.82062e+02      5.00000e+00      -2.55493e+01
    2.70875e-02      1.80363e+02      5.00000e+00      -2.50256e+01
    2.75231e-02      1.78636e+02      5.00000e+00      -2.44934e+01
    2.79658e-02      1.76882e+02      5.00000e+00      -2.39527e+01
    2.84156e-02      1.75099e+02      5.00000e+00      -2.34032e+01
    2.88727e-02      1.73287e+02      5.00000e+00      -2.28449e+01
    2.93371e-02      1.71446e+02      5.00000e+00      -2.22775e+01
    2.98090e-02      1.69575e+02      5.00000e+00      -2.17010e+01
    3.02886e-02      1.67675e+02      5.00000e+00      -2.11152e+01
    3.07759e-02      1.65743e+02      5.00000e+00      -2.05200e+01
    3.12710e-02      1.63780e+02      5.00000e+00      -1.99151e+01
    3.17742e-02      1.61786e+02      5.00000e+00      -1.93004e+01
    3.22855e-02      1.59759e+02      5.00000e+00      -1.86759e+01
    3.28050e-02      1.57700e+02      5.00000e+00      -1.80412e+01
    3.33329e-02      1.55607e+02      5.00000e+00      -1.73964e+01
    3.38693e-02      1.53481e+02      5.00000e+00      -1.67411e+01
    3.44144e-02      1.51320e+02      5.00000e+00      -1.60752e+01
    3.49683e-02      1.49125e+02      5.00000e+00      -1.53986e+01
    3.55311e-02      1.46894e+02      5.00000e+00      -1.47110e+01
    3.61031e-02      1.44627e+02      5.00000e+00      -1.40124e+01
    3.66842e-02      1.42323e+02      5.00000e+00      -1.33025e+01
    3.72747e-02      1.39982e+02      5.00000e+00      -1.25811e+01
    3.78748e-02      1.37604e+02      5.00000e+00      -1.18481e+01
    3.84845e-02      1.35187e+02      5.00000e+00      -1.11032e+01
    3.91041e-02      1.32731e+02      5.00000e+00      -1.03463e+01
    3.97337e-02      1.30235e+02      5.00000e+00      -9.57724e+00
    4.03735e-02      1.27910e+02      5.00000e+00      -8.88040e+00
    4.10236e-02      1.27037e+02      5.00000e+00      -8.76965e+00
    4.16841e-02      1.26149e+02      5.00000e+00      -8.65711e+00
    4.23554e-02      1.25246e+02      5.00000e+00      -8.54276e+00
    4.30374e-02      1.24329e+02      5.00000e+00      -8.42656e+00
    4.37305e-02      1.23398e+02      5.00000e+00      -8.30848e+00
    4.44348e-02      1.22451e+02      5.00000e+00      -8.18850e+00
    4.51504e-02      1.21489e+02      5.00000e+00      -8.06658e+00
    4.58776e-02      1.20512e+02      5.00000e+00      -7.94270e+00
    4.66165e-02      1.19518e+02      5.00000e+00      -7.81681e+00
    4.73674e-02      1.18509e+02      5.00000e+00      -7.68889e+00
    4.81304e-02      1.17484e+02      5.00000e+00      -7.55891e+00
    4.89056e-02      1.16441e+02      5.00000e+00      -7.42683e+00
    4.96934e-02      1.15382e+02      5.00000e+00      -7.29262e+00
    5.04940e-02      1.14306e+02      5.00000e+00      -7.15624e+00
    5.13074e-02      1.13213e+02      5.00000e+00      -7.01766e+00
    5.21340e-02      1.12102e+02      5.00000e+00      -6.87684e+00
    5.29739e-02      1.10973e+02      5.00000e+00      -6.73375e+00
    5.38274e-02      1.09826e+02      5.00000e+00      -6.58835e+00
    5.46946e-02      1.08660e+02      5.00000e+00      -6.44060e+00
    5.55758e-02      1.07475e+02      5.00000e+00      -6.29047e+00
    5.64713e-02      1.06272e+02      5.00000e+00      -6.13791e+00
    5.73812e-02      1.05049e+02      5.00000e+00      -5.98290e+00
    5.83059e-02      1.03806e+02      5.00000e+00      -5.82538e+00
    5.92454e-02      1.02543e+02      5.00000e+00      -5.66531e+00
    6.02001e-02      1.01259e+02      5.00000e+00      -5.50267e+00
    6.11702e-02      9.99554e+01      5.00000e+00      -5.33740e+00
    6.21560e-02      9.86304e+01      5.00000e+00      -5.16946e+00
    6.31577e-02      9.72839e+01      5.00000e+00      -4.99881e+00
    6.41755e-02      9.59157e+01      5.00000e+00      -4.82540e+00
    6.52098e-02      9.45254e+01      5.00000e+00      -4.64920e+00
    6.62608e-02      9.31127e+01      5.00000e+00      -4.47015e+00
    6.73287e-02      9.16772e+01      5.00000e+00      -4.28821e+00
    6.84139e-02      9.02185e+01      5.00000e+00      -4.10334e+00
    6.95166e-02      8.87362e+01      5.00000e+00      -3.91548e+00
    7.06371e-02      8.72587e+01      5.00000e+00      -3.73032e+00
    7.17757e-02      8.63653e+01      5.00000e+00      -3.66376e+00
