    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      9.32597e-03      1.00000e+01      -5.40865e-04
    5.07438e-02      9.15930e-03      1.00000e+01      -5.30541e-04
    5.13959e-02      8.99049e-03      1.00000e+01      -5.20084e-04
    5.20564e-02      8.81949e-03      1.00000e+01      -5.09492e-04
    5.27254e-02      8.64630e-03      1.00000e+01      -4.98764e-04
    5.34030e-02      8.47088e-03      1.00000e+01      -4.87898e-04
    5.40893e-02      8.29320e-03      1.00000e+01      -4.76892e-04
    5.47845e-02      8.11323e-03      1.00000e+01      -4.65744e-04
    5.54886e-02      7.93094e-03      1.00000e+01      -4.54452e-04
    5.62018e-02      7.74631e-03      1.00000e+01      -4.43016e-04
    5.69242e-02      7.55930e-03      1.00000e+01      -4.31431e-04
    5.76558e-02      7.36988e-03      1.00000e+01      -4.19698e-04
    5.83969e-02      7.17802e-03      1.00000e+01      -4.07814e-04
    5.91476e-02      6.98369e-03      1.00000e+01      -3.95776e-04
    5.99079e-02      6.78686e-03      1.00000e+01      -3.83584e-04
    6.06779e-02      6.58749e-03      1.00000e+01      -3.71235e-04
    6.14580e-02      6.38556e-03      1.00000e+01      -3.58726e-04
    6.22480e-02      6.18103e-03      1.00000e+01      -3.46057e-04
    6.30482e-02      5.97386e-03      1.00000e+01      -3.33224e-04
    6.38587e-02      5.76403e-03      1.00000e+01      -3.20227e-04
    6.46797e-02      5.55149e-03      1.00000e+01      -3.07061e-04
    6.55112e-02      5.33622e-03      1.00000e+01      -2.93727e-04
    6.63535e-02      5.11818e-03      1.00000e+01      -2.80220e-04
    6.72066e-02      4.89733e-03      1.00000e+01      -2.66540e-04
    6.80706e-02      4.67363e-03      1.00000e+01      -2.52684e-04
    6.89458e-02      4.44706e-03      1.00000e+01      -2.38649e-04
    6.98323e-02      4.21756e-03      1.00000e+01      -2.24433e-04
    7.07302e-02      3.98512e-03      1.00000e+01      -2.10035e-04
    7.16396e-02      3.74968e-03      1.00000e+01      -1.95451e-04
    7.25607e-02      3.51120e-03      1.00000e+01      -1.80679e-04
    7.34938e-02      3.26966e-03      1.00000e+01      -1.65717e-04
