    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      1.11864e+02      1.00000e+01      -6.47038e+00
    5.07438e-02      1.11151e+02      1.00000e+01      -6.39605e+00
    5.13959e-02      1.10429e+02      1.00000e+01      -6.32077e+00
    5.20564e-02      1.09698e+02      1.00000e+01      -6.24452e+00
    5.27254e-02      1.08957e+02      1.00000e+01      -6.16728e+00
    5.34030e-02      1.08207e+02      1.00000e+01      -6.08905e+00
    5.40893e-02      1.07447e+02      1.00000e+01      -6.00982e+00
    5.47845e-02      1.06677e+02      1.00000e+01      -5.92956e+00
    5.54886e-02      1.05897e+02      1.00000e+01      -5.84827e+00
    5.62018e-02      1.05107e+02      1.00000e+01      -5.76594e+00
    5.69242e-02      1.04307e+02      1.00000e+01      -5.68254e+00
    5.76558e-02      1.03497e+02      1.00000e+01      -5.59807e+00
    5.83969e-02      1.02677e+02      1.00000e+01      -5.51252e+00
    5.91476e-02      1.01845e+02      1.00000e+01      -5.42586e+00
    5.99079e-02      1.01004e+02      1.00000e+01      -5.33808e+00
    6.06779e-02      1.00151e+02      1.00000e+01      -5.24918e+00
    6.14580e-02      9.92871e+01      1.00000e+01      -5.15913e+00
    6.22480e-02      9.84123e+01      1.00000e+01      -5.06792e+00
    6.30482e-02      9.75262e+01      1.00000e+01      -4.97553e+00
    6.38587e-02      9.66287e+01      1.00000e+01      -4.88196e+00
    6.46797e-02      9.57196e+01      1.00000e+01      -4.78718e+00
    6.55112e-02      9.47989e+01      1.00000e+01      -4.69118e+00
    6.63535e-02      9.38662e+01      1.00000e+01      -4.59395e+00
    6.72066e-02      9.29216e+01      1.00000e+01      -4.49546e+00
    6.80706e-02      9.19648e+01      1.00000e+01      -4.39571e+00
    6.89458e-02      9.09957e+01      1.00000e+01      -4.29467e+00
    6.98323e-02      9.00141e+01      1.00000e+01      -4.19233e+00
    7.07302e-02      8.90199e+01      1.00000e+01      -4.08867e+00
    7.16396e-02      8.80129e+01      1.00000e+01      -3.98368e+00
    7.25607e-02      8.69929e+01      1.00000e+01      -3.87733e+00
    7.34938e-02      8.59597e+01      1.00000e+01      -3.76962e+00
    7.44388e-02      8.49133e+01      1.00000e+01      -3.66052e+00
    7.53960e-02      8.38534e+01      1.00000e+01      -3.55001e+00
    7.63655e-02      8.27798e+01      1.00000e+01      -3.43809e+00
    7.73475e-02      8.16924e+01      1.00000e+01      -3.32472e+00
    7.83421e-02      8.05911e+01      1.00000e+01      -3.20989e+00
    7.93496e-02      7.94755e+01      1.00000e+01      -3.09358e+00
    8.03700e-02      7.83959e+01      1.00000e+01      -2.98411e+00
    8.14035e-02      7.76939e+01      1.00000e+01      -2.93817e+00
    8.24504e-02      7.69828e+01      1.00000e+01      -2.89163e+00
    8.35108e-02      7.62626e+01      1.00000e+01      -2.84449e+00
    8.45848e-02      7.55332e+01      1.00000e+01      -2.79675e+00
    8.56726e-02      7.47943e+01      1.00000e+01      -2.74839e+00
    8.67744e-02      7.40459e+01      1.00000e+01      -2.69940e+00
    8.78905e-02      7.32879e+01      1.00000e+01      -2.64979e+00
    8.90209e-02      7.25202e+01      1.00000e+01      -2.59954e+00
    9.01658e-02      7.17425e+01      1.00000e+01      -2.54864e+00
    9.13255e-02      7.09549e+01      1.00000e+01      -2.49709e+00
    9.25001e-02      7.01571e+01      1.00000e+01      -2.44487e+00
    9.36899e-02      6.93490e+01      1.00000e+01      -2.39198e+00
    9.48949e-02      6.85305e+01      1.00000e+01      -2.33841e+00
    9.61155e-02      6.77015e+01      1.00000e+01      -2.28415e+00
    9.73518e-02      6.68618e+01      1.00000e+01      -2.22919e+00
    9.86040e-02      6.60113e+01      1.00000e+01      -2.17352e+00
    9.98724e-02      6.51498e+01      1.00000e+01      -2.11714e+00
    1.01157e-01      6.42772e+01      1.00000e+01      -2.06003e+00
    1.02458e-01      6.33935e+01      1.00000e+01      -2.00218e+00
    1.03776e-01      6.24983e+01      1.00000e+01      -1.94359e+00
    1.05111e-01      6.15916e+01      1.00000e+01      -1.88425e+00
    1.06463e-01      6.06732e+01      1.00000e+01      -1.82414e+00
    1.07833e-01      5.97430e+01      1.00000e+01      -1.76326e+00
    1.09220e-01      5.88009e+01      1.00000e+01      -1.70159e+00
    1.10625e-01      5.78739e+01      1.00000e+01      -1.64191e+00
    1.12048e-01      5.72310e+01      1.00000e+01      -1.61167e+00
    1.13490e-01      5.65799e+01      1.00000e+01      -1.58103e+00
    1.14950e-01      5.59204e+01      1.00000e+01      -1.55000e+00
    1.16428e-01      5.52525e+01      1.00000e+01      -1.51857e+00
    1.17926e-01      5.45759e+01      1.00000e+01      -1.48673e+00
    1.19443e-01      5.38906e+01      1.00000e+01      -1.45449e+00
    1.20980e-01      5.31965e+01      1.00000e+01      -1.42182e+00
    1.22537e-01      5.24934e+01      1.00000e+01      -1.38874e+00
    1.24113e-01      5.17813e+01      1.00000e+01      -1.35524e+00
    1.25710e-01      5.10600e+01      1.00000e+01      -1.32130e+00
    1.27327e-01      5.03295e+01      1.00000e+01      -1.28692e+00
    1.28965e-01      4.95895e+01      1.00000e+01      -1.25210e+00
    1.30625e-01      4.88400e+01      1.00000e+01      -1.21684e+00
    1.32305e-01      4.80809e+01      1.00000e+01      -1.18112e+00
    1.34008e-01      4.73119e+01      1.00000e+01      -1.14494e+00
    1.35732e-01      4.65331e+01      1.00000e+01      -1.10829e+00
    1.37478e-01      4.57443e+01      1.00000e+01      -1.07117e+00
    1.39247e-01      4.49452e+01      1.00000e+01      -1.03357e+00
    1.41039e-01      4.41735e+01      1.00000e+01      -9.98218e-01
    1.42854e-01      4.35961e+01      1.00000e+01      -9.77223e-01
    1.44692e-01      4.30112e+01      1.00000e+01      -9.55957e-01
    1.46553e-01      4.24188e+01      1.00000e+01      -9.34417e-01
    1.48439e-01      4.18188e+01      1.00000e+01      -9.12600e-01
    1.50349e-01      4.12111e+01      1.00000e+01      -8.90503e-01
    1.52284e-01      4.05955e+01      1.00000e+01      -8.68120e-01
    1.54243e-01      3.99720e+01      1.00000e+01      -8.45450e-01
    1.56228e-01      3.93405e+01      1.00000e+01      -8.22487e-01
    1.58238e-01      3.87008e+01      1.00000e+01      -7.99229e-01
    1.60275e-01      3.80529e+01      1.00000e+01      -7.75672e-01
    1.62337e-01      3.73967e+01      1.00000e+01      -7.51811e-01
    1.64426e-01      3.67320e+01      1.00000e+01      -7.27643e-01
    1.66542e-01      3.60588e+01      1.00000e+01      -7.03163e-01
    1.68685e-01      3.53769e+01      1.00000e+01      -6.78369e-01
    1.70856e-01      3.46862e+01      1.00000e+01      -6.53255e-01
    1.73054e-01      3.41594e+01      1.00000e+01      -6.37429e-01
    1.75281e-01      3.36391e+01      1.00000e+01      -6.22136e-01
    1.77537e-01      3.31121e+01      1.00000e+01      -6.06645e-01
