    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      6.45270e+01      1.00000e+02      1.65322e+04
    1.01247e-01      6.38940e+01      1.00000e+02      1.61268e+04
    1.02408e-01      6.32537e+01      1.00000e+02      1.57167e+04
    1.03582e-01      6.26061e+01      1.00000e+02      1.53018e+04
    1.04769e-01      6.19510e+01      1.00000e+02      1.48822e+04
    1.05970e-01      6.12884e+01      1.00000e+02      1.44578e+04
    1.07184e-01      6.06182e+01      1.00000e+02      1.40286e+04
    1.08413e-01      5.99404e+01      1.00000e+02      1.35944e+04
    1.09655e-01      5.92547e+01      1.00000e+02      1.31552e+04
    1.10912e-01      5.85612e+01      1.00000e+02      1.27110e+04
    1.12184e-01      5.78597e+01      1.00000e+02      1.22617e+04
    1.13470e-01      5.71502e+01      1.00000e+02      1.18072e+04
    1.14770e-01      5.64326e+01      1.00000e+02      1.13475e+04
    1.16086e-01      5.57067e+01      1.00000e+02      1.08826e+04
    1.17417e-01      5.49725e+01      1.00000e+02      1.04123e+04
    1.18763e-01      5.42298e+01      1.00000e+02      9.93660e+03
    1.20124e-01      5.34787e+01      1.00000e+02      9.45546e+03
    1.21501e-01      5.27189e+01      1.00000e+02      8.96880e+03
    1.22894e-01      5.19504e+01      1.00000e+02      8.47656e+03
    1.24303e-01      5.11731e+01      1.00000e+02      7.97866e+03
    1.25728e-01      5.04249e+01      1.00000e+02      7.52381e+03
    1.27169e-01      4.98824e+01      1.00000e+02      7.33770e+03
    1.28627e-01      4.93336e+01      1.00000e+02      7.14946e+03
    1.30101e-01      4.87785e+01      1.00000e+02      6.95906e+03
    1.31593e-01      4.82170e+01      1.00000e+02      6.76648e+03
    1.33101e-01      4.76491e+01      1.00000e+02      6.57169e+03
    1.34627e-01      4.70747e+01      1.00000e+02      6.37466e+03
    1.36171e-01      4.64936e+01      1.00000e+02      6.17537e+03
    1.37732e-01      4.59060e+01      1.00000e+02      5.97380e+03
    1.39311e-01      4.53115e+01      1.00000e+02      5.76991e+03
    1.40908e-01      4.47103e+01      1.00000e+02      5.56368e+03
    1.42523e-01      4.41021e+01      1.00000e+02      5.35509e+03
    1.44157e-01      4.34870e+01      1.00000e+02      5.14410e+03
    1.45810e-01      4.28648e+01      1.00000e+02      4.93070e+03
    1.47482e-01      4.22355e+01      1.00000e+02      4.71484e+03
    1.49173e-01      4.15990e+01      1.00000e+02      4.49651e+03
    1.50883e-01      4.09552e+01      1.00000e+02      4.27567e+03
    1.52613e-01      4.03039e+01      1.00000e+02      4.05230e+03
    1.54363e-01      3.96452e+01      1.00000e+02      3.82637e+03
    1.56133e-01      3.89908e+01      1.00000e+02      3.60605e+03
    1.57923e-01      3.85061e+01      1.00000e+02      3.50570e+03
    1.59733e-01      3.80159e+01      1.00000e+02      3.40420e+03
    1.61565e-01      3.75200e+01      1.00000e+02      3.30154e+03
    1.63417e-01      3.70184e+01      1.00000e+02      3.19770e+03
    1.65291e-01      3.65111e+01      1.00000e+02      3.09267e+03
    1.67186e-01      3.59979e+01      1.00000e+02      2.98643e+03
    1.69103e-01      3.54789e+01      1.00000e+02      2.87897e+03
    1.71042e-01      3.49539e+01      1.00000e+02      2.77028e+03
    1.73003e-01      3.44229e+01      1.00000e+02      2.66035e+03
    1.74987e-01      3.38858e+01      1.00000e+02      2.54915e+03
    1.76994e-01      3.33425e+01      1.00000e+02      2.43668e+03
    1.79023e-01      3.27930e+01      1.00000e+02      2.32291e+03
    1.81076e-01      3.22372e+01      1.00000e+02      2.20785e+03
    1.83152e-01      3.16750e+01      1.00000e+02      2.09146e+03
    1.85252e-01      3.11064e+01      1.00000e+02      1.97373e+03
    1.87377e-01      3.05894e+01      1.00000e+02      1.87901e+03
    1.89525e-01      3.01553e+01      1.00000e+02      1.82042e+03
    1.91698e-01      2.97163e+01      1.00000e+02      1.76116e+03
    1.93897e-01      2.92723e+01      1.00000e+02      1.70122e+03
    1.96120e-01      2.88231e+01      1.00000e+02      1.64060e+03
    1.98369e-01      2.83688e+01      1.00000e+02      1.57927e+03
    2.00644e-01      2.79093e+01      1.00000e+02      1.51725e+03
    2.02944e-01      2.74445e+01      1.00000e+02      1.45451e+03
    2.05272e-01      2.69744e+01      1.00000e+02      1.39105e+03
    2.07626e-01      2.64988e+01      1.00000e+02      1.32686e+03
    2.10006e-01      2.60179e+01      1.00000e+02      1.26194e+03
    2.12415e-01      2.55314e+01      1.00000e+02      1.19627e+03
    2.14851e-01      2.50393e+01      1.00000e+02      1.12985e+03
    2.17314e-01      2.45548e+01      1.00000e+02      1.06621e+03
    2.19806e-01      2.41717e+01      1.00000e+02      1.03047e+03
    2.22327e-01      2.37841e+01      1.00000e+02      9.94330e+02
    2.24877e-01      2.33922e+01      1.00000e+02      9.57772e+02
    2.27455e-01      2.29957e+01      1.00000e+02      9.20795e+02
    2.30064e-01      2.25947e+01      1.00000e+02      8.83393e+02
    2.32702e-01      2.21891e+01      1.00000e+02      8.45562e+02
    2.35371e-01      2.17788e+01      1.00000e+02      8.07297e+02
    2.38070e-01      2.13639e+01      1.00000e+02      7.68593e+02
    2.40800e-01      2.09441e+01      1.00000e+02      7.29445e+02
    2.43562e-01      2.05196e+01      1.00000e+02      6.89848e+02
    2.46355e-01      2.00902e+01      1.00000e+02      6.49796e+02
    2.49180e-01      1.97097e+01      1.00000e+02      6.19539e+02
    2.52038e-01      1.93647e+01      1.00000e+02      5.96548e+02
    2.54928e-01      1.90158e+01      1.00000e+02      5.73294e+02
    2.57852e-01      1.86629e+01      1.00000e+02      5.49772e+02
    2.60809e-01      1.83059e+01      1.00000e+02      5.25981e+02
    2.63800e-01      1.79449e+01      1.00000e+02      5.01916e+02
    2.66826e-01      1.75797e+01      1.00000e+02      4.77576e+02
    2.69886e-01      1.72103e+01      1.00000e+02      4.52956e+02
    2.72981e-01      1.68367e+01      1.00000e+02      4.28054e+02
    2.76112e-01      1.64588e+01      1.00000e+02      4.02866e+02
    2.79278e-01      1.61082e+01      1.00000e+02      3.81473e+02
    2.82481e-01      1.58048e+01      1.00000e+02      3.66451e+02
    2.85721e-01      1.54979e+01      1.00000e+02      3.51257e+02
    2.88998e-01      1.51875e+01      1.00000e+02      3.35889e+02
    2.92313e-01      1.48736e+01      1.00000e+02      3.20344e+02
    2.95665e-01      1.45560e+01      1.00000e+02      3.04620e+02
    2.99056e-01      1.42348e+01      1.00000e+02      2.88717e+02
    3.02486e-01      1.39100e+01      1.00000e+02      2.72631e+02
    3.05955e-01      1.35813e+01      1.00000e+02      2.56360e+02
    3.09464e-01      1.32663e+01      1.00000e+02      2.41556e+02
