    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      1.86908e-04      1.00000e+02      -6.26345e-06
    2.52651e-01      1.86665e-04      1.00000e+02      -6.20435e-06
    2.55227e-01      1.86418e-04      1.00000e+02      -6.14464e-06
    2.57830e-01      1.86170e-04      1.00000e+02      -6.08432e-06
    2.60459e-01      1.85919e-04      1.00000e+02      -6.02339e-06
    2.63115e-01      1.85665e-04      1.00000e+02      -5.96184e-06
    2.65799e-01      1.85409e-04      1.00000e+02      -5.89966e-06
    2.68509e-01      1.85150e-04      1.00000e+02      -5.83684e-06
    2.71248e-01      1.84888e-04      1.00000e+02      -5.77339e-06
    2.74014e-01      1.84624e-04      1.00000e+02      -5.70928e-06
    2.76808e-01      1.84357e-04      1.00000e+02      -5.64452e-06
    2.79631e-01      1.84087e-04      1.00000e+02      -5.57910e-06
    2.82483e-01      1.83815e-04      1.00000e+02      -5.51302e-06
    2.85364e-01      1.83540e-04      1.00000e+02      -5.44626e-06
    2.88274e-01      1.83262e-04      1.00000e+02      -5.37882e-06
    2.91214e-01      1.82985e-04      1.00000e+02      -5.31642e-06
    2.94184e-01      1.82713e-04      1.00000e+02      -5.26363e-06
    2.97185e-01      1.82437e-04      1.00000e+02      -5.21029e-06
    3.00215e-01      1.82159e-04      1.00000e+02      -5.15641e-06
    3.03277e-01      1.81878e-04      1.00000e+02      -5.10198e-06
    3.06370e-01      1.81594e-04      1.00000e+02      -5.04700e-06
    3.09495e-01      1.81307e-04      1.00000e+02      -4.99145e-06
    3.12651e-01      1.81018e-04      1.00000e+02      -4.93534e-06
    3.15840e-01      1.80725e-04      1.00000e+02      -4.87865e-06
    3.19061e-01      1.80429e-04      1.00000e+02      -4.82139e-06
    3.22315e-01      1.80131e-04      1.00000e+02      -4.76354e-06
    3.25602e-01      1.79829e-04      1.00000e+02      -4.70510e-06
    3.28923e-01      1.79524e-04      1.00000e+02      -4.64607e-06
    3.32278e-01      1.79223e-04      1.00000e+02      -4.59380e-06
    3.35667e-01      1.78923e-04      1.00000e+02      -4.54619e-06
    3.39090e-01      1.78621e-04      1.00000e+02      -4.49809e-06
    3.42549e-01      1.78315e-04      1.00000e+02      -4.44950e-06
    3.46042e-01      1.78006e-04      1.00000e+02      -4.40042e-06
    3.49572e-01      1.77694e-04      1.00000e+02      -4.35084e-06
    3.53137e-01      1.77378e-04      1.00000e+02      -4.30075e-06
    3.56739e-01      1.77060e-04      1.00000e+02      -4.25015e-06
    3.60377e-01      1.76738e-04      1.00000e+02      -4.19904e-06
    3.64053e-01      1.76413e-04      1.00000e+02      -4.14740e-06
    3.67766e-01      1.76084e-04      1.00000e+02      -4.09523e-06
    3.71517e-01      1.75756e-04      1.00000e+02      -4.04539e-06
    3.75306e-01      1.75433e-04      1.00000e+02      -4.00232e-06
    3.79134e-01      1.75106e-04      1.00000e+02      -3.95882e-06
    3.83001e-01      1.74776e-04      1.00000e+02      -3.91487e-06
    3.86907e-01      1.74443e-04      1.00000e+02      -3.87047e-06
    3.90853e-01      1.74106e-04      1.00000e+02      -3.82562e-06
    3.94840e-01      1.73766e-04      1.00000e+02      -3.78031e-06
    3.98867e-01      1.73422e-04      1.00000e+02      -3.73454e-06
    4.02935e-01      1.73075e-04      1.00000e+02      -3.68830e-06
    4.07045e-01      1.72724e-04      1.00000e+02      -3.64159e-06
    4.11196e-01      1.72372e-04      1.00000e+02      -3.59558e-06
    4.15391e-01      1.72026e-04      1.00000e+02      -3.55628e-06
    4.19627e-01      1.71676e-04      1.00000e+02      -3.51657e-06
    4.23907e-01      1.71323e-04      1.00000e+02      -3.47646e-06
    4.28231e-01      1.70967e-04      1.00000e+02      -3.43594e-06
    4.32599e-01      1.70607e-04      1.00000e+02      -3.39501e-06
    4.37011e-01      1.70243e-04      1.00000e+02      -3.35366e-06
    4.41469e-01      1.69875e-04      1.00000e+02      -3.31188e-06
    4.45971e-01      1.69504e-04      1.00000e+02      -3.26968e-06
    4.50520e-01      1.69129e-04      1.00000e+02      -3.22705e-06
    4.55115e-01      1.68761e-04      1.00000e+02      -3.19061e-06
    4.59758e-01      1.68390e-04      1.00000e+02      -3.15416e-06
    4.64447e-01      1.68015e-04      1.00000e+02      -3.11733e-06
    4.69184e-01      1.67637e-04      1.00000e+02      -3.08013e-06
    4.73970e-01      1.67254e-04      1.00000e+02      -3.04255e-06
    4.78804e-01      1.66868e-04      1.00000e+02      -3.00459e-06
    4.83688e-01      1.66478e-04      1.00000e+02      -2.96624e-06
    4.88622e-01      1.66084e-04      1.00000e+02      -2.92750e-06
    4.93606e-01      1.65692e-04      1.00000e+02      -2.89156e-06
    4.98640e-01      1.65302e-04      1.00000e+02      -2.85799e-06
    5.03726e-01      1.64908e-04      1.00000e+02      -2.82408e-06
    5.08865e-01      1.64510e-04      1.00000e+02      -2.78982e-06
    5.14055e-01      1.64108e-04      1.00000e+02      -2.75522e-06
    5.19298e-01      1.63702e-04      1.00000e+02      -2.72026e-06
    5.24595e-01      1.63292e-04      1.00000e+02      -2.68495e-06
    5.29946e-01      1.62877e-04      1.00000e+02      -2.64927e-06
    5.35352e-01      1.62469e-04      1.00000e+02      -2.61729e-06
    5.40812e-01      1.62059e-04      1.00000e+02      -2.58603e-06
    5.46329e-01      1.61645e-04      1.00000e+02      -2.55447e-06
    5.51901e-01      1.61227e-04      1.00000e+02      -2.52257e-06
    5.57531e-01      1.60804e-04      1.00000e+02      -2.49036e-06
    5.63218e-01      1.60378e-04      1.00000e+02      -2.45781e-06
    5.68963e-01      1.59946e-04      1.00000e+02      -2.42493e-06
    5.74766e-01      1.59518e-04      1.00000e+02      -2.39442e-06
    5.80629e-01      1.59091e-04      1.00000e+02      -2.36533e-06
    5.86552e-01      1.58659e-04      1.00000e+02      -2.33594e-06
    5.92535e-01      1.58223e-04      1.00000e+02      -2.30625e-06
    5.98579e-01      1.57783e-04      1.00000e+02      -2.27625e-06
    6.04684e-01      1.57338e-04      1.00000e+02      -2.24595e-06
    6.10852e-01      1.56888e-04      1.00000e+02      -2.21534e-06
    6.17083e-01      1.56446e-04      1.00000e+02      -2.18799e-06
    6.23378e-01      1.56000e-04      1.00000e+02      -2.16068e-06
    6.29736e-01      1.55550e-04      1.00000e+02      -2.13309e-06
    6.36160e-01      1.55095e-04      1.00000e+02      -2.10521e-06
    6.42649e-01      1.54636e-04      1.00000e+02      -2.07706e-06
    6.49204e-01      1.54172e-04      1.00000e+02      -2.04861e-06
    6.55827e-01      1.53711e-04      1.00000e+02      -2.02210e-06
    6.62516e-01      1.53250e-04      1.00000e+02      -1.99651e-06
    6.69274e-01      1.52785e-04      1.00000e+02      -1.97067e-06
    6.76101e-01      1.52314e-04      1.00000e+02      -1.94456e-06
    6.82998e-01      1.51839e-04      1.00000e+02      -1.91819e-06
    6.89965e-01      1.51359e-04      1.00000e+02      -1.89155e-06
    6.97003e-01      1.50884e-04      1.00000e+02      -1.86694e-06
    7.04113e-01      1.50407e-04      1.00000e+02      -1.84283e-06
