    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    2.50100e-01      7.66155e+00      1.00000e+02      -2.82476e-01
    2.52651e-01      7.59394e+00      1.00000e+02      -2.77991e-01
    2.55227e-01      7.52564e+00      1.00000e+02      -2.73460e-01
    2.57830e-01      7.45665e+00      1.00000e+02      -2.68883e-01
    2.60459e-01      7.38695e+00      1.00000e+02      -2.64259e-01
    2.63115e-01      7.31654e+00      1.00000e+02      -2.59588e-01
    2.65799e-01      7.24541e+00      1.00000e+02      -2.54869e-01
    2.68509e-01      7.17356e+00      1.00000e+02      -2.50102e-01
    2.71248e-01      7.10097e+00      1.00000e+02      -2.45286e-01
    2.74014e-01      7.02764e+00      1.00000e+02      -2.40422e-01
    2.76808e-01      6.95357e+00      1.00000e+02      -2.35507e-01
    2.79631e-01      6.87873e+00      1.00000e+02      -2.30543e-01
    2.82483e-01      6.80314e+00      1.00000e+02      -2.25528e-01
    2.85364e-01      6.72677e+00      1.00000e+02      -2.20462e-01
    2.88274e-01      6.64963e+00      1.00000e+02      -2.15344e-01
    2.91214e-01      6.57694e+00      1.00000e+02      -2.10750e-01
    2.94184e-01      6.51286e+00      1.00000e+02      -2.07136e-01
    2.97185e-01      6.44813e+00      1.00000e+02      -2.03485e-01
    3.00215e-01      6.38274e+00      1.00000e+02      -1.99797e-01
    3.03277e-01      6.31668e+00      1.00000e+02      -1.96072e-01
    3.06370e-01      6.24995e+00      1.00000e+02      -1.92309e-01
    3.09495e-01      6.18254e+00      1.00000e+02      -1.88507e-01
    3.12651e-01      6.11444e+00      1.00000e+02      -1.84666e-01
    3.15840e-01      6.04564e+00      1.00000e+02      -1.80786e-01
    3.19061e-01      5.97615e+00      1.00000e+02      -1.76867e-01
    3.22315e-01      5.90594e+00      1.00000e+02      -1.72908e-01
    3.25602e-01      5.83502e+00      1.00000e+02      -1.68908e-01
    3.28923e-01      5.76337e+00      1.00000e+02      -1.64867e-01
    3.32278e-01      5.69843e+00      1.00000e+02      -1.61468e-01
    3.35667e-01      5.63809e+00      1.00000e+02      -1.58516e-01
    3.39090e-01      5.57712e+00      1.00000e+02      -1.55533e-01
    3.42549e-01      5.51553e+00      1.00000e+02      -1.52520e-01
