    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.33052e-02      5.00000e+00      -3.27066e-03
    5.07729e-02      2.29553e-02      5.00000e+00      -3.21952e-03
    5.14550e-02      2.26008e-02      5.00000e+00      -3.16769e-03
    5.21461e-02      2.22414e-02      5.00000e+00      -3.11516e-03
    5.28466e-02      2.18773e-02      5.00000e+00      -3.06192e-03
    5.35565e-02      2.15082e-02      5.00000e+00      -3.00797e-03
    5.42760e-02      2.11342e-02      5.00000e+00      -2.95330e-03
    5.50052e-02      2.07551e-02      5.00000e+00      -2.89788e-03
    5.57441e-02      2.03710e-02      5.00000e+00      -2.84172e-03
    5.64931e-02      1.99816e-02      5.00000e+00      -2.78481e-03
    5.72520e-02      1.95871e-02      5.00000e+00      -2.72713e-03
    5.80213e-02      1.91872e-02      5.00000e+00      -2.66867e-03
    5.88008e-02      1.87819e-02      5.00000e+00      -2.60943e-03
    5.95909e-02      1.83712e-02      5.00000e+00      -2.54939e-03
    6.03916e-02      1.79549e-02      5.00000e+00      -2.48854e-03
    6.12030e-02      1.75331e-02      5.00000e+00      -2.42687e-03
    6.20254e-02      1.71056e-02      5.00000e+00      -2.36437e-03
    6.28589e-02      1.66723e-02      5.00000e+00      -2.30103e-03
    6.37035e-02      1.62332e-02      5.00000e+00      -2.23684e-03
    6.45596e-02      1.57881e-02      5.00000e+00      -2.17178e-03
    6.54271e-02      1.53371e-02      5.00000e+00      -2.10585e-03
    6.63064e-02      1.48800e-02      5.00000e+00      -2.03903e-03
    6.71974e-02      1.44168e-02      5.00000e+00      -1.97131e-03
    6.81005e-02      1.39473e-02      5.00000e+00      -1.90268e-03
    6.90157e-02      1.34715e-02      5.00000e+00      -1.83313e-03
    6.99433e-02      1.29893e-02      5.00000e+00      -1.76264e-03
    7.08833e-02      1.25007e-02      5.00000e+00      -1.69120e-03
    7.18360e-02      1.20054e-02      5.00000e+00      -1.61880e-03
    7.28014e-02      1.15035e-02      5.00000e+00      -1.54543e-03
    7.37799e-02      1.09948e-02      5.00000e+00      -1.47107e-03
    7.47716e-02      1.04793e-02      5.00000e+00      -1.39570e-03
    7.57766e-02      9.95680e-03      5.00000e+00      -1.31933e-03
    7.67951e-02      9.42730e-03      5.00000e+00      -1.24192e-03
    7.78274e-02      8.89067e-03      5.00000e+00      -1.16347e-03
    7.88735e-02      8.34683e-03      5.00000e+00      -1.08397e-03
    7.99337e-02      7.79566e-03      5.00000e+00      -1.00340e-03
    8.10082e-02      7.23708e-03      5.00000e+00      -9.21742e-04
    8.20971e-02      6.67097e-03      5.00000e+00      -8.38986e-04
    8.32007e-02      6.09725e-03      5.00000e+00      -7.55117e-04
    8.43192e-02      5.51581e-03      5.00000e+00      -6.70118e-04
    8.54527e-02      4.92654e-03      5.00000e+00      -5.83976e-04
    8.66014e-02      4.32934e-03      5.00000e+00      -4.96674e-04
    8.77657e-02      3.72410e-03      5.00000e+00      -4.08197e-04
    8.89456e-02      3.11071e-03      5.00000e+00      -3.18529e-04
    9.01413e-02      2.48908e-03      5.00000e+00      -2.27654e-04
    9.13532e-02      2.34596e-03      5.00000e+00      -2.07982e-04
    9.25814e-02      2.30566e-03      5.00000e+00      -2.03626e-04
    9.38261e-02      2.26481e-03      5.00000e+00      -1.99211e-04
    9.50875e-02      2.22342e-03      5.00000e+00      -1.94736e-04
    9.63660e-02      2.18147e-03      5.00000e+00      -1.90201e-04
    9.76616e-02      2.13895e-03      5.00000e+00      -1.85606e-04
    9.89747e-02      2.09587e-03      5.00000e+00      -1.80948e-04
    1.00305e-01      2.05220e-03      5.00000e+00      -1.76228e-04
    1.01654e-01      2.00795e-03      5.00000e+00      -1.71444e-04
    1.03021e-01      1.96310e-03      5.00000e+00      -1.66596e-04
    1.04406e-01      1.91764e-03      5.00000e+00      -1.61683e-04
    1.05810e-01      1.87158e-03      5.00000e+00      -1.56703e-04
    1.07233e-01      1.82489e-03      5.00000e+00      -1.51657e-04
    1.08675e-01      1.77758e-03      5.00000e+00      -1.46542e-04
    1.10136e-01      1.72963e-03      5.00000e+00      -1.41359e-04
    1.11617e-01      1.68103e-03      5.00000e+00      -1.36106e-04
    1.13118e-01      1.63178e-03      5.00000e+00      -1.30782e-04
    1.14639e-01      1.58187e-03      5.00000e+00      -1.25386e-04
    1.16181e-01      1.53128e-03      5.00000e+00      -1.19918e-04
    1.17743e-01      1.48002e-03      5.00000e+00      -1.14377e-04
    1.19326e-01      1.42806e-03      5.00000e+00      -1.08761e-04
    1.20931e-01      1.37540e-03      5.00000e+00      -1.03069e-04
    1.22557e-01      1.32204e-03      5.00000e+00      -9.73003e-05
    1.24205e-01      1.26796e-03      5.00000e+00      -9.14543e-05
