    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    5.01000e-02      2.20460e+01      5.00000e+00      -3.08557e+00
    5.07729e-02      2.19467e+01      5.00000e+00      -3.05810e+00
    5.14550e-02      2.18460e+01      5.00000e+00      -3.03025e+00
    5.21461e-02      2.17440e+01      5.00000e+00      -3.00202e+00
    5.28466e-02      2.16407e+01      5.00000e+00      -2.97342e+00
    5.35565e-02      2.15359e+01      5.00000e+00      -2.94444e+00
    5.42760e-02      2.14297e+01      5.00000e+00      -2.91506e+00
    5.50052e-02      2.13221e+01      5.00000e+00      -2.88528e+00
    5.57441e-02      2.12131e+01      5.00000e+00      -2.85511e+00
    5.64931e-02      2.11026e+01      5.00000e+00      -2.82453e+00
    5.72520e-02      2.09906e+01      5.00000e+00      -2.79354e+00
    5.80213e-02      2.08771e+01      5.00000e+00      -2.76213e+00
    5.88008e-02      2.07620e+01      5.00000e+00      -2.73030e+00
    5.95909e-02      2.06454e+01      5.00000e+00      -2.69804e+00
    6.03916e-02      2.05273e+01      5.00000e+00      -2.66535e+00
    6.12030e-02      2.04075e+01      5.00000e+00      -2.63221e+00
    6.20254e-02      2.02862e+01      5.00000e+00      -2.59863e+00
    6.28589e-02      2.01632e+01      5.00000e+00      -2.56460e+00
    6.37035e-02      2.00385e+01      5.00000e+00      -2.53011e+00
    6.45596e-02      1.99122e+01      5.00000e+00      -2.49516e+00
    6.54271e-02      1.97842e+01      5.00000e+00      -2.45973e+00
    6.63064e-02      1.96544e+01      5.00000e+00      -2.42383e+00
    6.71974e-02      1.95230e+01      5.00000e+00      -2.38745e+00
    6.81005e-02      1.93897e+01      5.00000e+00      -2.35057e+00
    6.90157e-02      1.92546e+01      5.00000e+00      -2.31320e+00
    6.99433e-02      1.91178e+01      5.00000e+00      -2.27533e+00
    7.08833e-02      1.89790e+01      5.00000e+00      -2.23695e+00
    7.18360e-02      1.88385e+01      5.00000e+00      -2.19805e+00
    7.28014e-02      1.86960e+01      5.00000e+00      -2.15863e+00
    7.37799e-02      1.85516e+01      5.00000e+00      -2.11867e+00
    7.47716e-02      1.84053e+01      5.00000e+00      -2.07818e+00
    7.57766e-02      1.82569e+01      5.00000e+00      -2.03714e+00
    7.67951e-02      1.81066e+01      5.00000e+00      -1.99556e+00
    7.78274e-02      1.79543e+01      5.00000e+00      -1.95341e+00
    7.88735e-02      1.77999e+01      5.00000e+00      -1.91069e+00
    7.99337e-02      1.76435e+01      5.00000e+00      -1.86740e+00
    8.10082e-02      1.74849e+01      5.00000e+00      -1.82353e+00
    8.20971e-02      1.73242e+01      5.00000e+00      -1.77906e+00
    8.32007e-02      1.71614e+01      5.00000e+00      -1.73400e+00
    8.43192e-02      1.69963e+01      5.00000e+00      -1.68833e+00
    8.54527e-02      1.68291e+01      5.00000e+00      -1.64205e+00
    8.66014e-02      1.66595e+01      5.00000e+00      -1.59514e+00
    8.77657e-02      1.64877e+01      5.00000e+00      -1.54761e+00
    8.89456e-02      1.63136e+01      5.00000e+00      -1.49943e+00
    9.01413e-02      1.61372e+01      5.00000e+00      -1.45060e+00
    9.13532e-02      1.60255e+01      5.00000e+00      -1.42718e+00
    9.25814e-02      1.59267e+01      5.00000e+00      -1.40904e+00
    9.38261e-02      1.58266e+01      5.00000e+00      -1.39066e+00
