    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      2.05887e-03      1.00000e+01      -1.68348e-04
    1.01306e-01      2.01932e-03      1.00000e+01      -1.64646e-04
    1.02526e-01      1.97929e-03      1.00000e+01      -1.60899e-04
    1.03760e-01      1.93878e-03      1.00000e+01      -1.57106e-04
    1.05010e-01      1.89778e-03      1.00000e+01      -1.53268e-04
    1.06275e-01      1.85629e-03      1.00000e+01      -1.49384e-04
    1.07555e-01      1.81430e-03      1.00000e+01      -1.45453e-04
    1.08850e-01      1.77180e-03      1.00000e+01      -1.41475e-04
    1.10161e-01      1.72878e-03      1.00000e+01      -1.37448e-04
    1.11488e-01      1.68525e-03      1.00000e+01      -1.33373e-04
    1.12830e-01      1.64120e-03      1.00000e+01      -1.29249e-04
    1.14189e-01      1.59661e-03      1.00000e+01      -1.25075e-04
    1.15565e-01      1.55149e-03      1.00000e+01      -1.20851e-04
    1.16957e-01      1.50582e-03      1.00000e+01      -1.16576e-04
    1.18365e-01      1.45960e-03      1.00000e+01      -1.12250e-04
    1.19791e-01      1.41282e-03      1.00000e+01      -1.07871e-04
    1.21234e-01      1.36548e-03      1.00000e+01      -1.03439e-04
    1.22694e-01      1.31757e-03      1.00000e+01      -9.89544e-05
    1.24172e-01      1.26909e-03      1.00000e+01      -9.44154e-05
    1.25668e-01      1.22001e-03      1.00000e+01      -8.98217e-05
    1.27182e-01      1.17035e-03      1.00000e+01      -8.51726e-05
    1.28713e-01      1.12009e-03      1.00000e+01      -8.04675e-05
    1.30264e-01      1.06922e-03      1.00000e+01      -7.57056e-05
    1.31833e-01      1.01774e-03      1.00000e+01      -7.08863e-05
    1.33421e-01      9.65633e-04      1.00000e+01      -6.60090e-05
    1.35028e-01      9.12902e-04      1.00000e+01      -6.10728e-05
    1.36655e-01      8.59536e-04      1.00000e+01      -5.60771e-05
    1.38301e-01      8.05526e-04      1.00000e+01      -5.10212e-05
    1.39967e-01      7.50865e-04      1.00000e+01      -4.59044e-05
    1.41653e-01      7.21555e-04      1.00000e+01      -4.36629e-05
    1.43360e-01      6.98442e-04      1.00000e+01      -4.21342e-05
    1.45087e-01      6.75050e-04      1.00000e+01      -4.05870e-05
    1.46834e-01      6.51376e-04      1.00000e+01      -3.90211e-05
    1.48603e-01      6.27417e-04      1.00000e+01      -3.74364e-05
    1.50393e-01      6.03169e-04      1.00000e+01      -3.58326e-05
    1.52205e-01      5.78629e-04      1.00000e+01      -3.42095e-05
    1.54039e-01      5.53793e-04      1.00000e+01      -3.25668e-05
    1.55895e-01      5.28657e-04      1.00000e+01      -3.09042e-05
    1.57773e-01      5.03219e-04      1.00000e+01      -2.92217e-05
    1.59673e-01      4.77473e-04      1.00000e+01      -2.75189e-05
    1.61597e-01      4.51418e-04      1.00000e+01      -2.57955e-05
    1.63544e-01      4.25048e-04      1.00000e+01      -2.40513e-05
    1.65514e-01      3.98361e-04      1.00000e+01      -2.22862e-05
    1.67508e-01      3.71352e-04      1.00000e+01      -2.04997e-05
    1.69526e-01      3.44017e-04      1.00000e+01      -1.86917e-05
    1.71569e-01      3.16352e-04      1.00000e+01      -1.68620e-05
    1.73636e-01      2.88355e-04      1.00000e+01      -1.50101e-05
    1.75728e-01      2.60019e-04      1.00000e+01      -1.31360e-05
    1.77845e-01      2.31342e-04      1.00000e+01      -1.12392e-05
    1.79988e-01      2.02320e-04      1.00000e+01      -9.31959e-06
    1.82156e-01      1.93787e-04      1.00000e+01      -8.70310e-06
    1.84351e-01      1.93561e-04      1.00000e+01      -8.61439e-06
    1.86572e-01      1.93332e-04      1.00000e+01      -8.52462e-06
    1.88820e-01      1.93101e-04      1.00000e+01      -8.43376e-06
    1.91095e-01      1.92867e-04      1.00000e+01      -8.34180e-06
    1.93398e-01      1.92630e-04      1.00000e+01      -8.24874e-06
    1.95728e-01      1.92390e-04      1.00000e+01      -8.15455e-06
    1.98086e-01      1.92147e-04      1.00000e+01      -8.05923e-06
    2.00473e-01      1.91901e-04      1.00000e+01      -7.96277e-06
    2.02888e-01      1.91653e-04      1.00000e+01      -7.86513e-06
    2.05333e-01      1.91401e-04      1.00000e+01      -7.76633e-06
    2.07807e-01      1.91146e-04      1.00000e+01      -7.66633e-06
    2.10311e-01      1.90889e-04      1.00000e+01      -7.56512e-06
    2.12845e-01      1.90628e-04      1.00000e+01      -7.46269e-06
    2.15410e-01      1.90364e-04      1.00000e+01      -7.35903e-06
    2.18005e-01      1.90097e-04      1.00000e+01      -7.25412e-06
    2.20632e-01      1.89826e-04      1.00000e+01      -7.14795e-06
    2.23291e-01      1.89563e-04      1.00000e+01      -7.06833e-06
