    Er (keV)         SM dN/dE         BG dN/dE        BSM dN/dE (events/kg/day/keV)
    1.00100e-01      1.51655e+01      1.00000e+01      -1.24930e+00
    1.01306e-01      1.50786e+01      1.00000e+01      -1.23460e+00
    1.02526e-01      1.49905e+01      1.00000e+01      -1.21972e+00
    1.03760e-01      1.49015e+01      1.00000e+01      -1.20466e+00
    1.05010e-01      1.48114e+01      1.00000e+01      -1.18943e+00
    1.06275e-01      1.47201e+01      1.00000e+01      -1.17400e+00
    1.07555e-01      1.46278e+01      1.00000e+01      -1.15840e+00
    1.08850e-01      1.45344e+01      1.00000e+01      -1.14260e+00
    1.10161e-01      1.44398e+01      1.00000e+01      -1.12662e+00
    1.11488e-01      1.43441e+01      1.00000e+01      -1.11044e+00
    1.12830e-01      1.42473e+01      1.00000e+01      -1.09406e+00
    1.14189e-01      1.41492e+01      1.00000e+01      -1.07749e+00
    1.15565e-01      1.40500e+01      1.00000e+01      -1.06072e+00
    1.16957e-01      1.39496e+01      1.00000e+01      -1.04375e+00
    1.18365e-01      1.38480e+01      1.00000e+01      -1.02657e+00
    1.19791e-01      1.37452e+01      1.00000e+01      -1.00919e+00
    1.21234e-01      1.36411e+01      1.00000e+01      -9.91591e-01
    1.22694e-01      1.35358e+01      1.00000e+01      -9.73785e-01
    1.24172e-01      1.34292e+01      1.00000e+01      -9.55764e-01
    1.25668e-01      1.33213e+01      1.00000e+01      -9.37525e-01
    1.27182e-01      1.32121e+01      1.00000e+01      -9.19067e-01
    1.28713e-01      1.31016e+01      1.00000e+01      -9.00386e-01
    1.30264e-01      1.29898e+01      1.00000e+01      -8.81480e-01
    1.31833e-01      1.28766e+01      1.00000e+01      -8.62346e-01
    1.33421e-01      1.27620e+01      1.00000e+01      -8.42982e-01
    1.35028e-01      1.26461e+01      1.00000e+01      -8.23384e-01
    1.36655e-01      1.25288e+01      1.00000e+01      -8.03550e-01
    1.38301e-01      1.24101e+01      1.00000e+01      -7.83476e-01
    1.39967e-01      1.22899e+01      1.00000e+01      -7.63161e-01
    1.41653e-01      1.21960e+01      1.00000e+01      -7.50542e-01
    1.43360e-01      1.21080e+01      1.00000e+01      -7.39771e-01
    1.45087e-01      1.20189e+01      1.00000e+01      -7.28870e-01
    1.46834e-01      1.19287e+01      1.00000e+01      -7.17838e-01
    1.48603e-01      1.18375e+01      1.00000e+01      -7.06672e-01
    1.50393e-01      1.17451e+01      1.00000e+01      -6.95372e-01
    1.52205e-01      1.16516e+01      1.00000e+01      -6.83936e-01
    1.54039e-01      1.15570e+01      1.00000e+01      -6.72362e-01
    1.55895e-01      1.14613e+01      1.00000e+01      -6.60648e-01
    1.57773e-01      1.13644e+01      1.00000e+01      -6.48793e-01
    1.59673e-01      1.12664e+01      1.00000e+01      -6.36796e-01
    1.61597e-01      1.11671e+01      1.00000e+01      -6.24653e-01
